Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-10-05 16:10:00,false,"Natal Running","6,74","570","00:44:10","0","0","0","0","6:33","--","--","--","0,00","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","44:10.00","1","0,0","00:00:00","00:44:10","--","--"
Running,2022-09-12 16:49:14,false,"Running","7,78","574","00:46:47","163","178","154","175","6:01","4:16","--","--","1,07","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:00.00","11","0,0","00:45:16","00:46:47","--","--"
Running,2022-09-08 17:17:26,false,"Running","6,32","483","00:43:37","152","175","134","245","6:54","2:59","--","--","1,10","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:00.33.3","15","0,0","00:37:26","00:44:05","--","--"
Running,2022-09-06 11:15:26,false,"Running","0,00","--","00:00:02,8","0","0","--","--","--","--","--","--","0,00","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:02.75","1","0,0","00:00:00","00:00:02,8","--","--"
Running,2022-09-05 16:46:57,false,"Running","8,48","667","00:53:27","159","174","150","174","6:18","4:21","--","--","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:06.56.4","11","0,0","00:51:30","00:53:41","--","--"
Running,2022-09-01 16:44:26,false,"Running","6,22","508","00:42:47","150","173","136","239","6:52","3:21","--","--","1,04","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:01.03.3","16","0,0","00:40:10","00:42:47","--","--"
Running,2022-08-30 17:21:21,false,"Running","7,52","607","00:51:50","149","175","139","236","6:53","3:15","--","--","1,03","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:00.84.9","14","0,0","00:48:13","00:51:50","--","--"
Running,2022-08-27 17:25:41,false,"Running","5,51","459","00:36:10","158","173","148","176","6:34","4:16","--","--","1,02","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:06.04.6","7","0,0","00:34:32","00:36:10","--","--"
Running,2022-08-24 16:59:56,false,"Running","6,93","538","00:38:57","166","175","164","170","5:37","4:31","--","--","1,08","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","05:22.79.6","7","0,0","00:38:55","00:38:57","--","--"
Running,2022-08-22 16:49:16,false,"Running","5,81","504","00:37:38","0","0","146","169","6:29","4:22","--","--","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:05.87","8","0,0","00:37:37","00:37:38","--","--"
Running,2022-08-22 13:30:41,false,"Running","0,01","--","00:00:13,8","0","0","--","--","40:51","2:57","--","--","0,00","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:13.82.9","1","0,0","00:00:00","00:00:13,8","84","84"
Running,2022-08-18 16:26:57,false,"Running","4,78","264","00:50:45","103","116","98","121","10:37","8:19","--","--","0,96","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","50:45.24.9","1","0,0","00:47:45","00:50:45","--","--"
Running,2022-08-16 17:16:29,false,"Natal Running","7,16","559","00:47:00","158","176","146","172","6:34","4:24","14","9","1,04","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:00.84.5","33","0,0","00:45:55","00:47:14","40","51"
Running,2022-08-15 17:01:53,false,"Running","6,49","559","00:46:28","154","178","133","233","7:10","3:23","--","--","1,02","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:01.11","11","0,0","00:43:22","00:46:28","--","--"
Running,2022-08-11 19:39:01,false,"Running","0,00","--","00:00:06,1","0","0","--","--","--","--","--","--","0,00","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:06.12.3","1","0,0","00:00:00","00:00:10,3","--","--"
Running,2022-08-11 17:34:15,false,"Running","7,44","681","00:52:22","164","180","137","229","7:02","3:47","--","--","1,01","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:04.22.3","9","0,0","00:47:11","00:52:22","--","--"
Running,2022-08-08 16:38:38,false,"Running","7,89","673","00:59:28","148","174","133","238","7:32","3:23","--","--","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:33.57.9","16","0,0","00:55:49","00:59:28","--","--"
Running,2022-08-04 16:46:24,false,"Running","7,69","660","00:52:11","159","173","143","176","6:47","4:19","--","--","1,01","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:07.66.3","16","0,0","00:50:34","00:52:11","--","--"
Running,2022-08-03 16:04:57,false,"Running","4,92","478","00:41:42","148","179","114","190","8:29","4:02","--","--","0,99","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:01.10.4","15","0,0","00:34:53","00:41:42","--","--"
Running,2022-08-01 16:25:58,false,"Running","5,35","464","00:39:15","149","176","135","189","7:21","3:48","--","--","0,99","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:00.95.4","10","0,0","00:37:48","00:39:29","--","--"
Running,2022-07-28 16:04:06,false,"Running","6,66","629","00:50:46","154","184","129","167","7:38","4:25","--","--","0,99","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:45.63.9","17","0,0","00:48:29","00:50:46","--","--"
Running,2022-07-26 16:45:55,false,"Running","4,23","376","00:36:23","141","179","120","167","8:37","4:26","--","--","0,94","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:58.57.5","15","0,0","00:33:09","00:36:23","--","--"
Running,2022-07-25 16:39:42,false,"Running","4,87","445","00:40:39","142","174","120","170","8:21","4:36","--","--","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:09.05.6","11","0,0","00:37:06","00:40:39","--","--"
